標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247227414,,糯玉米種，美珍，玉美珍,糯玉米,Waxy corn,Zea mays  L. var.  ceratina kulese,
4711247227490,,糯玉米種，美珍，玉美珍,糯玉米,Waxy corn,Zea mays  L. var.  ceratina kulese,
4711247227506,,,花玉米,NA,Zea mays  var.  aqratica  L.,彩色玉米
4711247390293,,,紫菜,Tzu Tsai， Sea weed,Porphyra tenera  Kjellman,
4711247390309,,,石花菜,Tengusa,Gelidium amansii  (Lamouroux),牛毛菜，石花，洋菜
4711247390316,,,石花菜,Tengusa,Gelidium amansii  (Lamouroux),牛毛菜，石花，洋菜
4711247390392,,,石花菜,Tengusa,Gelidium amansii  (Lamouroux),牛毛菜，石花，洋菜
4711247390408,,,海帶,Kelp，  Ma-kombu,Laminaria japonica  Aresch.,裙帶菜 ，昆布
4711247390415,,,海帶,Kelp，  Ma-kombu,Laminaria japonica  Aresch.,裙帶菜 ，昆布
4711247390491,,,海帶,Kelp，  Ma-kombu,Laminaria japonica  Aresch.,裙帶菜 ，昆布
4711247390507,,,小海帶,Endarachne binghamiae,Petalonia binghamiae  J. Agradh.,海帶芽，鵝腸菜，白毛菜，茭白菜，舌苔，土海帶
4711247390514,,,小海帶,Endarachne binghamiae,Petalonia binghamiae  J. Agradh.,海帶芽，鵝腸菜，白毛菜，茭白菜，舌苔，土海帶
4711247390590,,,小海帶,Endarachne binghamiae,Petalonia binghamiae  J. Agradh.,海帶芽，鵝腸菜，白毛菜，茭白菜，舌苔，土海帶
